Country,Continent,Year,Population,GPD per capita,"Life expectancy at birth, total (years)"
Burkina Faso,Africa,1972,5433886,854.7359763,43.591
Burkina Faso,Africa,1977,5889574,743.3870368,46.137
Burkina Faso,Africa,1982,6634596,807.1985855,48.122
Burkina Faso,Africa,1987,7586551,912.0631417,49.557
Burkina Faso,Africa,1992,8878303,931.7527731,50.26
Burkina Faso,Africa,1997,10352843,946.2949618,50.324
Burkina Faso,Africa,2002,12251209,1037.645221,50.65
Burkina Faso,Africa,2007,14326203,1217.032994,52.295
Burundi,Africa,1952,2445618,339.2964587,39.031
Burundi,Africa,1957,2667518,379.5646281,40.533
Burundi,Africa,1962,2961915,355.2032273,42.045
Burundi,Africa,1967,3330989,412.9775136,43.548
Burundi,Africa,1972,3529983,464.0995039,44.057
Burundi,Africa,1977,3834415,556.1032651,45.91
Burundi,Africa,1982,4580410,559.603231,47.471
Burundi,Africa,1987,5126023,621.8188189,48.211
Burundi,Africa,1992,5809236,631.6998778,44.736
Burundi,Africa,1997,6121610,463.1151478,45.326
Burundi,Africa,2002,7021078,446.4035126,47.36
Burundi,Africa,2007,8390505,430.0706916,49.58
Cambodia,Asia,1952,4693836,368.4692856,39.417
Cambodia,Asia,1957,5322536,434.0383364,41.366
Cambodia,Asia,1962,6083619,496.9136476,43.415
Cambodia,Asia,1967,6960067,523.4323142,45.415
Cambodia,Asia,1972,7450606,421.6240257,40.317
Cambodia,Asia,1977,6978607,524.9721832,31.22
Cambodia,Asia,1982,7272485,624.4754784,50.957
Cambodia,Asia,1987,8371791,683.8955732,53.914
Cambodia,Asia,1992,10150094,682.3031755,55.803
Cambodia,Asia,1997,11782962,734.28517,56.534
Cambodia,Asia,2002,12926707,896.2260153,56.752
Cambodia,Asia,2007,14131858,1713.778686,59.723
Cameroon,Africa,1952,5009067,1172.667655,38.523
Cameroon,Africa,1957,5359923,1313.048099,40.428
Cameroon,Africa,1962,5793633,1399.607441,42.643
Cameroon,Africa,1967,6335506,1508.453148,44.799
Cameroon,Africa,1972,7021028,1684.146528,47.049
Cameroon,Africa,1977,7959865,1783.432873,49.355
Cameroon,Africa,1982,9250831,2367.983282,52.961
Cameroon,Africa,1987,10780667,2602.664206,54.985
Cameroon,Africa,1992,12467171,1793.163278,54.314
Cameroon,Africa,1997,14195809,1694.337469,52.199
Cameroon,Africa,2002,15929988,1934.011449,49.856
Cameroon,Africa,2007,17696293,2042.09524,50.43
Canada,Americas,1952,14785584,11367.16112,68.75
Canada,Americas,1957,17010154,12489.95006,69.96
Canada,Americas,1962,18985849,13462.48555,71.3
Canada,Americas,1967,20819767,16076.58803,72.13
Canada,Americas,1972,22284500,18970.57086,72.88
Canada,Americas,1977,23796400,22090.88306,74.21
Canada,Americas,1982,25201900,22898.79214,75.76
Canada,Americas,1987,26549700,26626.51503,76.86
Canada,Americas,1992,28523502,26342.88426,77.95
Canada,Americas,1997,30305843,28954.92589,78.61
Canada,Americas,2002,31902268,33328.96507,79.77
Canada,Americas,2007,33390141,36319.23501,80.653
Central African Republic,Africa,1952,1291695,1071.310713,35.463
Central African Republic,Africa,1957,1392284,1190.844328,37.464
Central African Republic,Africa,1962,1523478,1193.068753,39.475
Central African Republic,Africa,1967,1733638,1136.056615,41.478
Central African Republic,Africa,1972,1927260,1070.013275,43.457
Central African Republic,Africa,1977,2167533,1109.374338,46.775
Central African Republic,Africa,1982,2476971,956.7529907,48.295
Central African Republic,Africa,1987,2840009,844.8763504,50.485
Central African Republic,Africa,1992,3265124,747.9055252,49.396
Central African Republic,Africa,1997,3696513,740.5063317,46.066
Central African Republic,Africa,2002,4048013,738.6906068,43.308
Central African Republic,Africa,2007,4369038,706.016537,44.741
Chad,Africa,1952,2682462,1178.665927,38.092
Chad,Africa,1957,2894855,1308.495577,39.881
Chad,Africa,1962,3150417,1389.817618,41.716
Chad,Africa,1967,3495967,1196.810565,43.601
Chad,Africa,1972,3899068,1104.103987,45.569
Chad,Africa,1977,4388260,1133.98495,47.383
Chad,Africa,1982,4875118,797.9081006,49.517
Chad,Africa,1987,5498955,952.386129,51.051
Chad,Africa,1992,6429417,1058.0643,51.724
Chad,Africa,1997,7562011,1004.961353,51.573
Chad,Africa,2002,8835739,1156.18186,50.525
Chad,Africa,2007,10238807,1704.063724,50.651
Chile,Americas,1952,6377619,3939.978789,54.745
Chile,Americas,1957,7048426,4315.622723,56.074
Chile,Americas,1962,7961258,4519.094331,57.924
Chile,Americas,1967,8858908,5106.654313,60.523
Chile,Americas,1972,9717524,5494.024437,63.441
Chile,Americas,1977,10599793,4756.763836,67.052
Chile,Americas,1982,11487112,5095.665738,70.565
Chile,Americas,1987,12463354,5547.063754,72.492
Chile,Americas,1992,13572994,7596.125964,74.126
Chile,Americas,1997,14599929,10118.05318,75.816
Chile,Americas,2002,15497046,10778.78385,77.86
Chile,Americas,2007,16284741,13171.63885,78.553
China,Asia,1952,556263528,400.4486107,44
China,Asia,1957,637408000,575.9870009,50.54896
China,Asia,1962,665770000,487.6740183,44.50136
China,Asia,1967,754550000,612.7056934,58.38112
China,Asia,1972,862030000,676.9000921,63.11888
China,Asia,1977,943455000,741.2374699,63.96736
China,Asia,1982,1000281000,962.4213805,65.525
China,Asia,1987,1084035000,1378.904018,67.274
China,Asia,1992,1164970000,1655.784158,68.69
China,Asia,1997,1230075000,2289.234136,70.426
China,Asia,2002,1280400000,3119.280896,72.028
China,Asia,2007,1318683096,4959.114854,72.961
Colombia,Americas,1952,12350771,2144.115096,50.643
Colombia,Americas,1957,14485993,2323.805581,55.118
Colombia,Americas,1962,17009885,2492.351109,57.863
Colombia,Americas,1967,19764027,2678.729839,59.963
Colombia,Americas,1972,22542890,3264.660041,61.623
Colombia,Americas,1977,25094412,3815.80787,63.837
Colombia,Americas,1982,27764644,4397.575659,66.653
Colombia,Americas,1987,30964245,4903.2191,67.768
Colombia,Americas,1992,34202721,5444.648617,68.421
Colombia,Americas,1997,37657830,6117.361746,70.313
Colombia,Americas,2002,41008227,5755.259962,71.682
Colombia,Americas,2007,44227550,7006.580419,72.889
Comoros,Africa,1952,153936,1102.990936,40.715
Comoros,Africa,1957,170928,1211.148548,42.46
Comoros,Africa,1962,191689,1406.648278,44.467
Comoros,Africa,1967,217378,1876.029643,46.472
Comoros,Africa,1972,250027,1937.577675,48.944
Comoros,Africa,1977,304739,1172.603047,50.939
Comoros,Africa,1982,348643,1267.100083,52.933
Comoros,Africa,1987,395114,1315.980812,54.926
Comoros,Africa,1992,454429,1246.90737,57.939
Comoros,Africa,1997,527982,1173.618235,60.66
Comoros,Africa,2002,614382,1075.811558,62.974
Comoros,Africa,2007,710960,986.1478792,65.152
Costa Rica,Americas,1952,926317,2627.009471,57.206
Costa Rica,Americas,1957,1112300,2990.010802,60.026
Costa Rica,Americas,1962,1345187,3460.937025,62.842
Costa Rica,Americas,1967,1588717,4161.727834,65.424
Costa Rica,Americas,1972,1834796,5118.146939,67.849
Costa Rica,Americas,1977,2108457,5926.876967,70.75
Costa Rica,Americas,1982,2424367,5262.734751,73.45
Costa Rica,Americas,1987,2799811,5629.915318,74.752
Costa Rica,Americas,1992,3173216,6160.416317,75.713
Costa Rica,Americas,1997,3518107,6677.045314,77.26
Costa Rica,Americas,2002,3834934,7723.447195,78.123
Costa Rica,Americas,2007,4133884,9645.06142,78.782
Croatia,Europe,1952,3882229,3119.23652,61.21
Croatia,Europe,1957,3991242,4338.231617,64.77
Croatia,Europe,1962,4076557,5477.890018,67.13
Croatia,Europe,1967,4174366,6960.297861,68.5
Croatia,Europe,1972,4225310,9164.090127,69.61
Croatia,Europe,1977,4318673,11305.38517,70.64
Croatia,Europe,1982,4413368,13221.82184,70.46
Croatia,Europe,1987,4484310,13822.58394,71.52
Croatia,Europe,1992,4494013,8447.794873,72.527
Croatia,Europe,1997,4444595,9875.604515,73.68
Croatia,Europe,2002,4481020,11628.38895,74.876
Croatia,Europe,2007,4493312,14619.22272,75.748
Cuba,Americas,1952,6007797,5586.53878,59.421
Cuba,Americas,1957,6640752,6092.174359,62.325
Cuba,Americas,1962,7254373,5180.75591,65.246
Cuba,Americas,1967,8139332,5690.268015,68.29
Cuba,Americas,1972,8831348,5305.445256,70.723
Cuba,Americas,1977,9537988,6380.494966,72.649
Cuba,Americas,1982,9789224,7316.918107,73.717
Cuba,Americas,1987,10239839,7532.924763,74.174
Cuba,Americas,1992,10723260,5592.843963,74.414
Cuba,Americas,1997,10983007,5431.990415,76.151
Cuba,Americas,2002,11226999,6340.646683,77.158
Cuba,Americas,2007,11416987,8948.102923,78.273
Czech Republic,Europe,1952,9125183,6876.14025,66.87
Czech Republic,Europe,1957,9513758,8256.343918,69.03
Czech Republic,Europe,1962,9620282,10136.86713,69.9
Czech Republic,Europe,1967,9835109,11399.44489,70.38
Czech Republic,Europe,1972,9862158,13108.4536,70.29
Czech Republic,Europe,1977,10161915,14800.16062,70.71
Czech Republic,Europe,1982,10303704,15377.22855,70.96
Czech Republic,Europe,1987,10311597,16310.4434,71.58
Czech Republic,Europe,1992,10315702,14297.02122,72.4
Czech Republic,Europe,1997,10300707,16048.51424,74.01
Czech Republic,Europe,2002,10256295,17596.21022,75.51
Czech Republic,Europe,2007,10228744,22833.30851,76.486
Democratic Republic of the Congo,Africa,1952,14100005,780.5423257,39.143
Democratic Republic of the Congo,Africa,1957,15577932,905.8602303,40.652
Democratic Republic of the Congo,Africa,1962,17486434,896.3146335,42.122
Democratic Republic of the Congo,Africa,1967,19941073,861.5932424,44.056
Democratic Republic of the Congo,Africa,1972,23007669,904.8960685,45.989
Democratic Republic of the Congo,Africa,1977,26480870,795.757282,47.804
Democratic Republic of the Congo,Africa,1982,30646495,673.7478181,47.784
Democratic Republic of the Congo,Africa,1987,35481645,672.774812,47.412
Democratic Republic of the Congo,Africa,1992,41672143,457.7191807,45.548
Democratic Republic of the Congo,Africa,1997,47798986,312.188423,42.587
Democratic Republic of the Congo,Africa,2002,55379852,241.1658765,44.966
Democratic Republic of the Congo,Africa,2007,64606759,277.5518587,46.462
Denmark,Europe,1952,4334000,9692.385245,70.78
Denmark,Europe,1957,4487831,11099.65935,71.81
Denmark,Europe,1962,4646899,13583.31351,72.35
Denmark,Europe,1967,4838800,15937.21123,72.96
Denmark,Europe,1972,4991596,18866.20721,73.47
Denmark,Europe,1977,5088419,20422.9015,74.69
Denmark,Europe,1982,5117810,21688.04048,74.63
Denmark,Europe,1987,5127024,25116.17581,74.8
Denmark,Europe,1992,5171393,26406.73985,75.33
Denmark,Europe,1997,5283663,29804.34567,76.11
Denmark,Europe,2002,5374693,32166.50006,77.18
Denmark,Europe,2007,5468120,35278.41874,78.332
Djibouti,Africa,1952,63149,2669.529475,34.812
Djibouti,Africa,1957,71851,2864.969076,37.328
Djibouti,Africa,1962,89898,3020.989263,39.693
Djibouti,Africa,1967,127617,3020.050513,42.074
Djibouti,Africa,1972,178848,3694.212352,44.366
Djibouti,Africa,1977,228694,3081.761022,46.519
Djibouti,Africa,1982,305991,2879.468067,48.812
Djibouti,Africa,1987,311025,2880.102568,50.04
Djibouti,Africa,1992,384156,2377.156192,51.604
Djibouti,Africa,1997,417908,1895.016984,53.157
Djibouti,Africa,2002,447416,1908.260867,53.373
Djibouti,Africa,2007,496374,2082.481567,54.791
Dominican Republic,Americas,1952,2491346,1397.717137,45.928
Dominican Republic,Americas,1957,2923186,1544.402995,49.828
Dominican Republic,Americas,1962,3453434,1662.137359,53.459
Dominican Republic,Americas,1967,4049146,1653.723003,56.751
Dominican Republic,Americas,1972,4671329,2189.874499,59.631
Dominican Republic,Americas,1977,5302800,2681.9889,61.788
Dominican Republic,Americas,1982,5968349,2861.092386,63.727
Dominican Republic,Americas,1987,6655297,2899.842175,66.046
Dominican Republic,Americas,1992,7351181,3044.214214,68.457
Dominican Republic,Americas,1997,7992357,3614.101285,69.957
Dominican Republic,Americas,2002,8650322,4563.808154,70.847
Dominican Republic,Americas,2007,9319622,6025.374752,72.235
Ecuador,Americas,1952,3548753,3522.110717,48.357
Ecuador,Americas,1957,4058385,3780.546651,51.356
Ecuador,Americas,1962,4681707,4086.114078,54.64
Ecuador,Americas,1967,5432424,4579.074215,56.678
Ecuador,Americas,1972,6298651,5280.99471,58.796
Ecuador,Americas,1977,7278866,6679.62326,61.31
Ecuador,Americas,1982,8365850,7213.791267,64.342
Ecuador,Americas,1987,9545158,6481.776993,67.231
Ecuador,Americas,1992,10748394,7103.702595,69.613
Ecuador,Americas,1997,11911819,7429.455877,72.312
Ecuador,Americas,2002,12921234,5773.044512,74.173
Ecuador,Americas,2007,13755680,6873.262326,74.994
Egypt,Africa,1952,22223309,1418.822445,41.893
Egypt,Africa,1957,25009741,1458.915272,44.444
Egypt,Africa,1962,28173309,1693.335853,46.992
Egypt,Africa,1967,31681188,1814.880728,49.293
Egypt,Africa,1972,34807417,2024.008147,51.137
Egypt,Africa,1977,38783863,2785.493582,53.319
Egypt,Africa,1982,45681811,3503.729636,56.006
Egypt,Africa,1987,52799062,3885.46071,59.797
Egypt,Africa,1992,59402198,3794.755195,63.674
Egypt,Africa,1997,66134291,4173.181797,67.217
Egypt,Africa,2002,73312559,4754.604414,69.806
Egypt,Africa,2007,80264543,5581.180998,71.338
El Salvador,Americas,1952,2042865,3048.3029,45.262
El Salvador,Americas,1957,2355805,3421.523218,48.57
El Salvador,Americas,1962,2747687,3776.803627,52.307
El Salvador,Americas,1967,3232927,4358.595393,55.855
El Salvador,Americas,1972,3790903,4520.246008,58.207
El Salvador,Americas,1977,4282586,5138.922374,56.696
El Salvador,Americas,1982,4474873,4098.344175,56.604
El Salvador,Americas,1987,4842194,4140.442097,63.154
El Salvador,Americas,1992,5274649,4444.2317,66.798
El Salvador,Americas,1997,5783439,5154.825496,69.535
El Salvador,Americas,2002,6353681,5351.568666,70.734
El Salvador,Americas,2007,6939688,5728.353514,71.878
Equatorial Guinea,Africa,1952,216964,375.6431231,34.482
Equatorial Guinea,Africa,1957,232922,426.0964081,35.983
Equatorial Guinea,Africa,1962,249220,582.8419714,37.485
Equatorial Guinea,Africa,1967,259864,915.5960025,38.987
Equatorial Guinea,Africa,1972,277603,672.4122571,40.516
Equatorial Guinea,Africa,1977,192675,958.5668124,42.024
Equatorial Guinea,Africa,1982,285483,927.8253427,43.662
Equatorial Guinea,Africa,1987,341244,966.8968149,45.664
Equatorial Guinea,Africa,1992,387838,1132.055034,47.545
Equatorial Guinea,Africa,1997,439971,2814.480755,48.245
Equatorial Guinea,Africa,2002,495627,7703.4959,49.348
Equatorial Guinea,Africa,2007,551201,12154.08975,51.579
Eritrea,Africa,1952,1438760,328.9405571,35.928
Eritrea,Africa,1957,1542611,344.1618859,38.047
Eritrea,Africa,1962,1666618,380.9958433,40.158
Eritrea,Africa,1967,1820319,468.7949699,42.189
Eritrea,Africa,1972,2260187,514.3242082,44.142
Eritrea,Africa,1977,2512642,505.7538077,44.535
Eritrea,Africa,1982,2637297,524.8758493,43.89
Eritrea,Africa,1987,2915959,521.1341333,46.453
Eritrea,Africa,1992,3668440,582.8585102,49.991
Eritrea,Africa,1997,4058319,913.47079,53.378
Eritrea,Africa,2002,4414865,765.3500015,55.24
Eritrea,Africa,2007,4906585,641.3695236,58.04
Ethiopia,Africa,1952,20860941,362.1462796,34.078
Ethiopia,Africa,1957,22815614,378.9041632,36.667
Ethiopia,Africa,1962,25145372,419.4564161,40.059
Ethiopia,Africa,1967,27860297,516.1186438,42.115
Ethiopia,Africa,1972,30770372,566.2439442,43.515
Ethiopia,Africa,1977,34617799,556.8083834,44.51
Ethiopia,Africa,1982,38111756,577.8607471,44.916
Ethiopia,Africa,1987,42999530,573.7413142,46.684
Ethiopia,Africa,1992,52088559,421.3534653,48.091
Ethiopia,Africa,1997,59861301,515.8894013,49.402
Ethiopia,Africa,2002,67946797,530.0535319,50.725
Ethiopia,Africa,2007,76511887,690.8055759,52.947
Finland,Europe,1952,4090500,6424.519071,66.55
Finland,Europe,1957,4324000,7545.415386,67.49
Finland,Europe,1962,4491443,9371.842561,68.75
Finland,Europe,1967,4605744,10921.63626,69.83
Finland,Europe,1972,4639657,14358.8759,70.87
Finland,Europe,1977,4738902,15605.42283,72.52
Finland,Europe,1982,4826933,18533.15761,74.55
Finland,Europe,1987,4931729,21141.01223,74.83
Finland,Europe,1992,5041039,20647.16499,75.7
Finland,Europe,1997,5134406,23723.9502,77.13
Finland,Europe,2002,5193039,28204.59057,78.37
Finland,Europe,2007,5238460,33207.0844,79.313
France,Europe,1952,42459667,7029.809327,67.41
France,Europe,1957,44310863,8662.834898,68.93
France,Europe,1962,47124000,10560.48553,70.51
France,Europe,1967,49569000,12999.91766,71.55
France,Europe,1972,51732000,16107.19171,72.38
France,Europe,1977,53165019,18292.63514,73.83
France,Europe,1982,54433565,20293.89746,74.89
France,Europe,1987,55630100,22066.44214,76.34
France,Europe,1992,57374179,24703.79615,77.46
France,Europe,1997,58623428,25889.78487,78.64
France,Europe,2002,59925035,28926.03234,79.59
France,Europe,2007,61083916,30470.0167,80.657
Gabon,Africa,1952,420702,4293.476475,37.003
Gabon,Africa,1957,434904,4976.198099,38.999
Gabon,Africa,1962,455661,6631.459222,40.489
Gabon,Africa,1967,489004,8358.761987,44.598
Gabon,Africa,1972,537977,11401.94841,48.69
Gabon,Africa,1977,706367,21745.57328,52.79
